Date,Open,High,Low,Close,Volume
2025-09-24 16:00:00,173.26,179.56,171.8,179.22,5304554
2025-09-25 16:00:00,177.11,177.82,171.01,172.01,6628836
2025-09-26 16:00:00,172.2,176.71,171.51,176.3,3821555
2025-09-29 16:00:00,177.72,179.4,176.01,179.11,3507816
2025-09-30 16:00:00,178.53,180.09,176.49,177.93,3415770
2025-10-01 16:00:00,178.25,181.57,175.95,177.57,3482928
2025-10-02 16:00:00,177.08,180.63,175,178.2,3530444
2025-10-03 16:00:00,178.11,179.11,175.52,175.59,3017932
2025-10-06 16:00:00,174.47,177.19,172.3,174.12,3694605
2025-10-07 16:00:00,174.74,177,172.15,173.17,2902441
2025-10-08 16:00:00,173.45,176.34,171.88,174.82,4952161
2025-10-09 16:00:00,175.11,178.9,172.7,173.48,4277321
2025-10-10 16:00:00,174.19,176.68,166.53,167.51,7424389
2025-10-13 16:00:00,169.19,170.75,164.23,169.85,3588163
2025-10-14 16:00:00,167.47,171.35,165.53,169.13,3105432
2025-10-15 16:00:00,169.6,171,166.53,167.1,2509988
2025-10-16 16:00:00,166.38,166.89,161.8,164.62,4092574
2025-10-17 16:00:00,162.98,167.87,162.85,167.41,4111285
2025-10-20 16:00:00,171.28,176.47,170.92,172.43,5105265
2025-10-21 16:00:00,173.18,183.05,172.93,181.39,6689717
2025-10-22 16:00:00,181.45,181.5,175.9,178.29,3626559
2025-10-23 16:00:00,178.55,180.59,177.52,179.06,2638583
2025-10-24 16:00:00,180.48,181.39,177.26,178.17,2609352
2025-10-27 16:00:00,186.43,186.91,181.33,181.39,5185497
2025-10-28 16:00:00,181.4,181.52,175.18,179.98,3800061
2025-10-29 16:00:00,178.71,178.99,169.77,170.3,5155736
2025-10-30 16:00:00,168,172.21,166.78,168.02,2832433
2025-10-31 16:00:00,168.4,171.46,166.57,170.54,2991001
2025-11-03 16:00:00,170.2,170.2,164.29,165.47,4237607
2025-11-04 16:00:00,164.08,164.85,160.46,160.66,5194776
2025-11-05 16:00:00,161.23,169.74,161.1,167.59,4679519
2025-11-06 16:00:00,167.41,168.9,161.87,163.55,3023128
2025-11-07 16:00:00,162.5,167.12,161.7,166.13,2912669
2025-11-10 16:00:00,167.8,171.23,165.35,170.35,2942210
2025-11-11 16:00:00,170.19,172.26,168.89,169.81,2663973
2025-11-12 16:00:00,171.59,172.48,169.88,170.9,2556392
2025-11-13 16:00:00,170.4,173.23,169,169.66,2096369
2025-11-14 16:00:00,165.82,171.78,165.38,170.68,1950146
2025-11-17 16:00:00,168.62,168.73,162.76,164.16,3240540
2025-11-18 16:00:00,162.58,164.97,160.97,163.97,2791933
2025-11-19 16:00:00,164.67,169.1,163.45,166.06,2500860
2025-11-20 16:00:00,166.13,170.5,164.51,164.69,2911378
2025-11-21 16:00:00,165.21,170.18,163.47,168.18,3337468
2025-11-24 16:00:00,168.32,172.39,166.23,169.67,3862497
2025-11-25 16:00:00,171.55,179.17,171.5,177.51,4518151
2025-11-26 16:00:00,178,183.69,177.79,181.94,3840017
2025-11-28 13:05:00,185,186.69,183.5,184.18,3021010
2025-12-01 16:00:00,181.19,184.94,180.25,182.41,4155070
2025-12-02 16:00:00,183.35,184.41,181.21,182.4,2362256
2025-12-03 16:00:00,182.66,185.07,178.9,182.3,2742213
2025-12-04 16:00:00,182.71,184.9,179.59,183.6,2973306
2025-12-05 16:00:00,184.62,191.85,184.62,190.01,4641888
2025-12-08 16:00:00,190.53,191.28,180,183.04,5226445
2025-12-09 16:00:00,182.8,183.59,180.7,182.28,3274315
2025-12-10 16:00:00,181.64,188.22,181.5,187.62,3233467
2025-12-11 16:00:00,183.44,188.5,182.04,187.01,9925735
2025-12-12 16:00:00,204.58,213.22,202.11,204.97,20263800
2025-12-15 16:00:00,203.23,208.3,198.54,206.29,7686805
2025-12-16 16:00:00,208.81,209.21,203.27,206.74,5156047
2025-12-17 16:00:00,206.43,209.45,201.01,207.87,5254415
2025-12-18 16:00:00,223.89,225.98,215.05,215.11,12120574
2025-12-19 16:00:00,214.99,217.26,207.38,209.45,15983297
2025-12-22 16:00:00,209.43,213.72,207.99,212.37,4610531
2025-12-23 16:00:00,211.11,213.37,209.25,212.68,2867783
2025-12-24 13:05:00,213.22,214.19,210.25,210.4,1152502
2025-12-26 16:00:00,210,211,207.86,208.97,2076692
2025-12-29 16:00:00,208,212.9,207.02,212.54,3453531
2025-12-30 16:00:00,212.51,213.18,210.47,210.67,1987648
2025-12-31 16:00:00,210.91,211.36,207.69,207.81,1967502
2026-01-02 16:00:00,209.22,212.08,208.56,210.81,2415688
2026-01-05 16:00:00,211.44,216.45,211.07,212.4,3173059
2026-01-06 16:00:00,212.4,216.46,209.99,215.88,3105934
2026-01-07 16:00:00,215.85,216.75,209.37,211.72,2343164
2026-01-08 16:00:00,209.75,217.22,209.46,212.17,2750643
2026-01-09 16:00:00,213,213.63,200.45,203.9,5732824
2026-01-12 16:00:00,203.3,211.42,202,209.04,4200860
2026-01-13 16:00:00,208.9,214.15,208.37,211.9,2417007
2026-01-14 16:00:00,211.33,215,202.18,203.14,2628571
2026-01-15 16:00:00,203.46,205.84,201,205.01,2422634
2026-01-16 16:00:00,204.39,205.07,201.5,201.87,3642252
2026-01-20 16:00:00,198.41,201.29,188.55,188.76,4306161
2026-01-21 16:00:00,188.91,193.29,186.9,189.84,2523237
2026-01-22 16:00:00,190.91,196.28,190.87,194.66,2080556
2026-01-23 16:00:00,192.71,194.89,191,191.07,1719891
2026-01-26 16:00:00,191.01,195.74,189.16,192.79,1885839
2026-01-27 16:00:00,192,192.49,186.18,186.39,2632312
2026-01-28 16:00:00,186.52,187.49,179.2,180.35,2872061
2026-01-29 16:00:00,179.62,180,171.3,172.54,3543734
2026-01-30 16:00:00,173.76,175.4,171.25,174.5,2735159
2026-02-02 16:00:00,174.87,181.56,173.95,179.08,3063174
2026-02-03 16:00:00,176.5,179.92,171.33,171.57,2452201
2026-02-04 16:00:00,173.11,178.17,172.44,178,2858450
2026-02-05 16:00:00,177.05,178.88,169.43,170.09,2204396
2026-02-06 16:00:00,170,175.43,170,172.85,1941861
